,Player,Code,Pos,PER,G,MP,3P%,PTS,Salary
285,Eric Paschall,pascher01,PF,13.4,40,17.4,0.333,9.5,1782621.0
286,Chris Paul,paulch01,PG,21.4,70,31.4,0.395,16.4,30800000.0
287,Cameron Payne,payneca01,PG,17.4,60,18.0,0.44,8.4,6500000.0
288,Elfrid Payton,paytoel01,PG,11.7,63,23.6,0.286,10.1,2239544.0
289,Gary Payton II,paytoga02,PG,29.2,10,4.0,0.5,2.5,1939350.0
290,Mason Plumlee,plumlma01,C,18.7,56,26.8,0.0,10.4,8137500.0
291,Jakob Poeltl,poeltja01,C,17.5,69,26.7,,8.6,8750000.0
292,Aleksej Pokusevski,pokusal01,PF,6.1,45,24.2,0.28,8.2,3113160.0
293,Jordan Poole,poolejo01,SG,15.1,51,19.4,0.351,12.0,2161440.0
294,Kevin Porter Jr.,porteke02,SG,12.5,26,32.1,0.311,16.6,2130240.0
295,Michael Porter Jr.,portemi01,SF,20.6,61,31.3,0.445,19.0,5258735.0
296,Otto Porter,porteot01,SF-PF,14.5,28,21.6,0.375,9.7,2389641.0
297,Bobby Portis,portibo01,C,19.9,66,20.8,0.471,11.4,4347600.0
298,Kristaps Porziņģis,porzikr01,C,21.3,43,30.9,0.376,20.1,31650600.0
299,Dwight Powell,poweldw01,C,16.8,58,16.7,0.238,5.9,11000000.0
300,Norman Powell,powelno01,SG-SF,16.2,69,32.0,0.411,18.6,15517242.0
301,Taurean Prince,princta02,PF,12.1,41,22.1,0.4,9.5,15057692.0
302,Payton Pritchard,pritcpa01,SG,12.4,66,19.2,0.411,7.7,2137440.0
303,Immanuel Quickley,quickim01,PG,15.8,64,19.4,0.389,11.4,2210640.0
304,Jahmi'us Ramsey,ramseja01,SG,10.5,13,7.2,0.263,3.1,1517981.0
305,Julius Randle,randlju01,PF,19.7,71,37.6,0.411,24.1,19800000.0
306,Cam Reddish,reddica01,SF,9.3,26,28.8,0.262,11.2,4670160.0
307,Paul Reed,reedpa01,PF,21.2,26,6.8,0.0,3.4,1517981.0
308,Naz Reid,reidna01,C,18.2,70,19.2,0.351,11.2,1782621.0
309,Josh Richardson,richajo01,SG,11.9,59,30.3,0.33,12.1,11600000.0
310,Austin Rivers,riverau01,SG,9.9,36,23.5,0.369,7.9,2401537.0
311,Duncan Robinson,robindu01,SF,11.0,72,31.4,0.408,13.1,15560000.0
312,Mitchell Robinson,robinmi01,C,17.7,31,27.5,,8.3,1802057.0
313,Isaiah Roby,robyis01,PF,11.9,61,23.4,0.294,8.7,1782621.0
314,Rajon Rondo,rondora01,PG,13.2,45,17.1,0.404,5.4,2641691.0
315,Derrick Rose,rosede01,PG,18.3,50,25.6,0.388,14.7,13445120.0
316,Terrence Ross,rosste01,SG,13.2,46,29.3,0.337,15.6,12500000.0
317,Terry Rozier,roziete01,SG,17.1,69,34.5,0.389,20.4,17905263.0
318,Ricky Rubio,rubiori01,PG,13.5,68,26.1,0.308,8.6,17809524.0
319,D'Angelo Russell,russeda01,PG,17.6,42,28.5,0.387,19.0,30013500.0
320,Domantas Sabonis,sabondo01,PF,20.6,62,36.0,0.321,20.3,18562500.0
321,Luka Šamanić,samanlu01,PF,9.8,33,9.3,0.279,3.7,
322,Dario Šarić,saricda01,C,14.3,50,17.4,0.348,8.7,9000000.0
323,Tomáš Satoranský,satorto01,SG,13.8,58,22.5,0.356,7.7,10000000.0
324,Dennis Schröder,schrode01,SG,13.8,61,32.1,0.335,15.4,5890000.0
325,Collin Sexton,sextoco01,SG,18.0,60,35.3,0.371,24.3,6349671.0
326,Landry Shamet,shamela01,SG,10.3,61,23.0,0.387,9.3,3768342.0
327,Pascal Siakam,siakapa01,PF,17.7,56,35.8,0.297,21.4,31320000.0
328,Ben Simmons,simmobe01,PG,18.3,58,32.4,0.3,14.3,31590000.0
329,Anfernee Simons,simonan01,SG,12.3,64,17.3,0.426,7.8,3938818.0
330,Marcus Smart,smartma01,PG,13.8,48,32.9,0.33,13.1,14339285.0
331,Dennis Smith Jr.,smithde03,PG,13.6,23,18.3,0.328,6.7,1789256.0
332,Ish Smith,smithis01,PG,11.6,44,21.0,0.367,6.7,4500000.0
333,Jalen Smith,smithja04,PF,8.4,27,5.8,0.235,2.0,4458000.0
334,Tony Snell,snellto01,SG,9.5,47,21.1,0.569,5.3,2389641.0
335,Lamar Stevens,stevela01,PF,10.5,40,12.5,0.16,4.1,1517981.0
336,Isaiah Stewart,stewais01,C,16.4,68,21.4,0.333,7.9,3277080.0
337,Max Strus,strusma01,SF,12.1,39,13.0,0.338,6.1,1669178.0
338,Jae'Sean Tate,tateja01,SF,13.8,70,29.2,0.308,11.3,1517981.0
339,Jayson Tatum,tatumja01,SF,21.3,64,35.8,0.386,26.4,28103550.0
340,Garrett Temple,templga01,SG,8.2,56,27.3,0.335,7.6,4910000.0
341,Daniel Theis,theisda01,C,15.0,65,24.6,0.322,9.6,8372093.0
342,Matt Thomas,thomama02,SG,9.1,45,7.2,0.338,3.1,1669178.0
343,Tristan Thompson,thomptr01,PF,14.2,54,23.8,0.0,7.6,9720900.0
344,Matisse Thybulle,thybuma01,SG,10.1,65,20.0,0.301,3.9,2840160.0
345,Xavier Tillman Sr.,tillmxa01,PF,14.7,59,18.4,0.338,6.6,1517981.0
346,Obi Toppin,toppiob01,PF,12.7,62,11.0,0.306,4.1,5105160.0
347,Juan Toscano-Anderson,toscaju01,SG,12.6,53,20.9,0.402,5.7,1701593.0
348,Karl-Anthony Towns,townska01,C,23.1,50,33.8,0.387,24.8,31610000.0
349,Gary Trent Jr.,trentga02,SG,12.1,58,31.1,0.385,15.3,16000000.0
350,P.J. Tucker,tuckepj01,PF,5.5,52,26.1,0.336,3.7,7000000.0
351,Myles Turner,turnemy01,C,15.3,47,31.0,0.335,12.6,18000000.0
352,Jonas Valančiūnas,valanjo01,C,24.4,62,28.3,0.368,17.1,14000000.0
353,Denzel Valentine,valende01,SG,10.1,62,16.7,0.331,6.5,1789256.0
354,Jarred Vanderbilt,vandeja01,PF,16.2,64,17.8,0.2,5.4,4259259.0
355,Fred VanVleet,vanvlfr01,SG,16.8,52,36.5,0.366,19.6,19675926.0
356,Devin Vassell,vassede01,SF,10.6,62,17.0,0.347,5.5,4235160.0
357,Gabe Vincent,vincega01,PG,7.6,50,13.1,0.309,4.8,1669178.0
358,Nikola Vučević,vucevni01,C,22.9,70,33.5,0.4,23.4,24000000.0
359,Dean Wade,wadede01,PF,11.3,63,19.2,0.366,6.0,1782621.0
360,Moritz Wagner,wagnemo01,C,12.5,45,16.0,0.341,6.9,1729217.0
361,Kemba Walker,walkeke02,PG,17.7,43,31.8,0.36,19.3,8729020.0
362,Lonnie Walker,walkelo01,SG,9.8,60,25.4,0.355,11.2,4447896.0
363,John Wall,walljo01,PG,15.4,40,32.2,0.317,20.6,44310840.0
364,Brad Wanamaker,wanambr01,PG,9.5,61,17.3,0.188,5.5,1729217.0
365,T.J. Warren,warretj01,SF,11.6,4,29.3,0.0,15.5,12690000.0
366,P.J. Washington,washipj01,PF,13.4,64,30.5,0.386,12.9,4215120.0
367,Yuta Watanabe,watanyu01,SF,12.2,50,14.5,0.4,4.4,1762769.0
368,Russell Westbrook,westbru01,PG,19.5,65,36.4,0.315,22.2,44211146.0
369,Coby White,whiteco01,PG,12.0,69,31.2,0.359,15.1,5837760.0
370,Derrick White,whitede01,SG,15.0,36,29.6,0.346,15.4,15178571.0
371,Hassan Whiteside,whiteha01,C,19.2,36,15.2,0.0,8.1,2401537.0
372,Andrew Wiggins,wiggian01,PF,15.0,71,33.3,0.38,18.6,31579390.0
